address,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30
"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",1256.0,1275.0,0.0,0.0,0.0
"104 Caisleán Grove, Ballincollig, Co. Cork",2471.0,2502.0,2619.0,2695.0,2733.0
"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3136.0,3200.0,3283.0,3352.0,3398.0
"15 Glincool Grove, Ballincollig, Co. Cork",0.0,0.0,0.0,1057.0,1239.0
"17 Coolroe Heights, Ballincollig, Co. Cork",3170.0,3207.0,3260.0,3327.0,3345.0
"194 The Willows, Ballincollig, Co. Cork",0.0,0.0,0.0,325.0,1014.0
"2 Glendower Court, Ballincollig, Co. Cork",3781.0,3807.0,3871.0,3938.0,3969.0
"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",4700.0,4723.0,4768.0,4814.0,4844.0
"21 Leesdale Drive, Ballincollig, Co. Cork",1840.0,1983.0,2316.0,2534.0,2702.0
"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",1572.0,1601.0,1661.0,1725.0,1769.0
"25 Innishmore Drive, Ballincollig, Co. Cork",0.0,0.0,0.0,439.0,1246.0
"36 Castlepark, Ballincollig, Co. Cork",3797.0,3854.0,4002.0,4121.0,4222.0
"36 Westcourt Heights, Ballincollig, Co. Cork",5030.0,5053.0,5120.0,5170.0,5210.0
"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",2570.0,2628.0,2749.0,2858.0,2948.0
"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",47984.0,48026.0,48156.0,48270.0,0.0
"50 Old Court, Greenfields, Ballincollig, Co. Cork",1808.0,1846.0,1946.0,2029.0,2086.0
"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3203.0,3242.0,3373.0,3481.0,3564.0
"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",2112.0,2136.0,2223.0,2290.0,2332.0
"9 Highfield Crescent, Ballincollig, Co. Cork",1156.0,1209.0,1372.0,1481.0,1552.0
"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",2202.0,2228.0,2274.0,2333.0,2368.0
"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",2589.0,2627.0,2764.0,2883.0,2950.0
"Farran Ovens, Ballincollig, Co. Cork",23858.0,23889.0,23943.0,23996.0,24033.0
"Fatima, Poulavone, Ballincollig, Co. Cork",11777.0,11788.0,11826.0,11857.0,11886.0
"The Bungalow, Coolroe, Ballincollig, Co. Cork",1259.0,1280.0,1330.0,1377.0,1411.0
"Vesna, 57 Rosewood, Ballincollig, Co. Cork",5502.0,5556.0,5683.0,5842.0,5922.0
