,address,day_count,difference
0,"1 Gleann Fia, Bawnnafinny, Tower, Co. Cork",13,2080.0
1,"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",13,-1256.0
2,"104 Caisleán Grove, Ballincollig, Co. Cork",13,673.0
3,"126 Caisleán Way, Ballincollig, Co. Cork",13,2713.0
4,"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",13,681.0
5,"15 Glincool Grove, Ballincollig, Co. Cork",13,2052.0
6,"17 Coolroe Heights, Ballincollig, Co. Cork",13,504.0
7,"194 The Willows, Ballincollig, Co. Cork",13,2788.0
8,"2 Glendower Court, Ballincollig, Co. Cork",13,-3153.0
9,"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",13,485.0
10,"21 Leesdale Drive, Ballincollig, Co. Cork",13,1952.0
11,"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",13,-1227.0
12,"25 Innishmore Drive, Ballincollig, Co. Cork",13,2733.0
13,"36 Castlepark, Ballincollig, Co. Cork",13,1263.0
14,"36 Westcourt Heights, Ballincollig, Co. Cork",13,580.0
15,"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",13,-2570.0
16,"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",13,-47984.0
17,"50 Old Court, Greenfields, Ballincollig, Co. Cork",13,-1173.0
18,"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",13,1152.0
19,"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",13,-1756.0
20,"9 Highfield Crescent, Ballincollig, Co. Cork",13,-690.0
21,"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",13,-1674.0
22,"94 Castlepark, Ballincollig, Co. Cork",13,644.0
23,"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",13,1073.0
24,"Farran Ovens, Ballincollig, Co. Cork",13,638.0
25,"Fatima, Poulavone, Ballincollig, Co. Cork",13,366.0
26,"The Bungalow, Coolroe, Ballincollig, Co. Cork",13,-779.0
27,"Vesna, 57 Rosewood, Ballincollig, Co. Cork",13,1129.0
