island,locality,area,price,beds,size,floor,date
Mallorca,San Bartolomé de Tirajana,El Tablero,185000,3,81,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,115000,2,65,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,185000,2,75,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,189000,3,121,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,120000,3,88,3,2020-09-09
Mallorca,Valsequillo de Gran Canaria,5,84500,3,70,1,2020-09-09
Mallorca,Valsequillo de Gran Canaria,3,88000,3,77,1,2020-09-09
Mallorca,Telde,La Herradura - Balcón del Telde,121000,3,95,2,2020-09-09
Mallorca,Telde,La Pardilla - San Antonio,65000,2,84,4,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,199000,2,58,5,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,199000,2,60,5,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,196000,2,58,4,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,190000,2,57,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,185000,2,59,1,2020-09-09
Mallorca,Telde,Valle de los Nueve - El Ejido - Medianías,128750,3,93,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,158000,3,65,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,147000,2,64,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,127000,2,67,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,132000,2,67,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,157000,3,82,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,142000,2,66,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,152000,3,82,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,116000,3,110,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,110000,3,97,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,Playa del Inglés,199000,2,48,5,2020-09-09
Mallorca,Ingenio,NN,98000,3,75,2,2020-09-09
Mallorca,Telde,La Pardilla - San Antonio,65000,2,84,4,2020-09-09
Mallorca,San Bartolomé de Tirajana,El Tablero,155000,2,87,1,2020-09-09
Mallorca,Agüimes,Cruce de Arinaga,118390,3,100,1,2020-09-09
Mallorca,Agüimes,Playa de Arinaga,159000,3,73,1,2020-09-09
Mallorca,San Bartolomé de Tirajana,El Tablero,185000,3,81,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,115000,2,65,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,185000,2,75,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,189000,3,121,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,120000,3,88,3,2020-09-09
Mallorca,Valsequillo de Gran Canaria,5,84500,3,70,1,2020-09-09
Mallorca,Valsequillo de Gran Canaria,3,88000,3,77,1,2020-09-09
Mallorca,Telde,La Herradura - Balcón del Telde,121000,3,95,2,2020-09-09
Mallorca,Telde,La Pardilla - San Antonio,65000,2,84,4,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,199000,2,58,5,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,199000,2,60,5,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,196000,2,58,4,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,190000,2,57,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,185000,2,59,1,2020-09-09
Mallorca,Telde,Valle de los Nueve - El Ejido - Medianías,128750,3,93,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,157000,3,82,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,142000,2,66,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,152000,3,82,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,127000,2,67,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,132000,2,67,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,158000,3,65,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Los Giles - Las Majadillas,147000,2,64,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,116000,3,110,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,110000,3,97,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,Playa del Inglés,199000,2,48,5,2020-09-09
Mallorca,Ingenio,NN,98000,3,75,2,2020-09-09
Mallorca,Telde,La Pardilla - San Antonio,65000,2,84,4,2020-09-09
Mallorca,San Bartolomé de Tirajana,El Tablero,155000,2,87,1,2020-09-09
Mallorca,Agüimes,Cruce de Arinaga,118390,3,100,1,2020-09-09
Mallorca,Agüimes,Playa de Arinaga,159000,3,73,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,189000,3,108,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,San Lorenzo,165000,3,120,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Negrín,190000,2,73,3,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,140000,3,96,3,2020-09-09
Mallorca,Ingenio,23,110000,3,98,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,140000,3,101,3,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario centro-San Pedro Mártir,99600,2,104,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,172000,3,90,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,San Juan de Dios-Salto del Negro-Playa de la Laja,95000,3,82,2,2020-09-09
Mallorca,Arucas,Santidad,180000,2,70,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Altavista - Don Zoilo,155000,3,108,3,2020-09-09
Mallorca,Aldea de San Nicolás,35,62000,2,62,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Las Mesas - El Toscón,179000,3,113,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario centro-San Pedro Mártir,137000,3,120,1,2020-09-09
Mallorca,Mogán,23,199000,2,70,1,2020-09-09
Mallorca,Agüimes,Cruce de Arinaga,107000,2,63,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,112000,3,86,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,165000,3,120,2,2020-09-09
Mallorca,Gáldar,Sardina,129000,2,73,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,149000,3,91,4,2020-09-09
Mallorca,San Bartolomé de Tirajana,El Tablero,190000,3,95,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,185000,3,82,2,2020-09-09
Mallorca,Telde,Callejón del Castillo - El Calero - Las Huesas,106420,3,109,1,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,121000,3,80,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Arenales - Lugo - Avda Marítima,185000,2,75,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,El Tablero,140000,2,65,1,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,135000,2,100,2,2020-09-09
Mallorca,Valsequillo de Gran Canaria,18,135000,4,115,1,2020-09-09
Mallorca,Arucas,Bañaderos-El Puertillo-San Andrés,147490,2,122,2,2020-09-09
Mallorca,Telde,Callejón del Castillo - El Calero - Las Huesas,110000,3,80,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,126000,3,80,3,2020-09-09
Mallorca,San Bartolomé de Tirajana,El Tablero,199000,2,74,3,2020-09-09
Mallorca,San Bartolomé de Tirajana,Playa del Inglés,186000,2,78,7,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,167000,3,70,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario centro-San Pedro Mártir,120000,3,92,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Santa Catalina - Canteras,195000,2,72,4,2020-09-09
Mallorca,Gáldar,Barrial-San Isidro-Marmolejos,139000,3,97,1,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Agustín-Bahía Feliz,120000,2,60,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,139000,3,100,3,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,189000,3,92,1,2020-09-09
Mallorca,Ingenio,Carrizal,109630,3,87,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,San Juan de Dios-Salto del Negro-Playa de la Laja,125000,2,175,3,2020-09-09
Mallorca,Telde,San Gregorio,106420,3,109,1,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,180000,3,117,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario centro-San Pedro Mártir,130000,3,92,3,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Los Llanos,126500,3,95,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Las Mesas - El Toscón,187000,3,84,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,165000,4,90,2,2020-09-09
Mallorca,Mogán,,149000,2,67,3,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,124000,3,82,3,2020-09-09
Mallorca,San Bartolomé de Tirajana,Playa del Inglés,178000,2,70,5,2020-09-09
Mallorca,Mogán,Puerto Rico,189999,2,50,2,2020-09-09
Mallorca,Ingenio,,97000,3,76,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Los Llanos,95000,3,98,3,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Los Llanos,124000,3,95,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Escaleritas - La Feria,120500,4,91,7,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,185000,3,164,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,110000,2,79,1,2020-09-09
Mallorca,Agüimes,Cruce de Arinaga,117420,2,64,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,Castillo del Romeral - Juan Grande,70000,3,65,1,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Schamann - Rehoyas,130000,2,102,2,2020-09-09
Mallorca,Telde,San Gregorio,190000,3,130,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,113000,3,86,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Los Llanos,149990,3,110,4,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario centro-San Pedro Mártir,100000,3,85,2,2020-09-09
Mallorca,Vega de San Mateo,24,134000,4,140,1,2020-09-09
Mallorca,Agüimes,Playa de Arinaga,187000,2,79,2,2020-09-09
Mallorca,Agüimes,Cruce de Arinaga,125000,3,90,1,2020-09-09
Mallorca,Valsequillo de Gran Canaria,17,120800,2,70,1,2020-09-09
Mallorca,Mogán,calle Antoñito el Molinero,199000,2,78,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,99700,3,79,3,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario centro-San Pedro Mártir,140400,4,127,1,2020-09-09
Mallorca,Santa Maria de Guia de Gran Canaria,Diseminado San Felipe,118650,3,145,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,109000,2,70,3,2020-09-09
Mallorca,Agüimes,Montaña los Vélez - Vargas,126000,3,102,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Los Llanos,106000,3,100,1,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,150000,3,96,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Escaleritas - La Feria,119900,4,90,7,2020-09-09
Mallorca,San Bartolomé de Tirajana,Playa del Inglés,158000,2,65,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario centro-San Pedro Mártir,165000,4,90,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Vega de San José,135000,3,112,4,2020-09-09
Mallorca,Agüimes,Cruce de Arinaga,130000,3,90,1,2020-09-09
Mallorca,Agüimes,Playa de Arinaga,190000,3,120,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,La Isleta,149000,2,70,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,Playa del Inglés,172000,2,60,1,2020-09-09
Mallorca,Telde,Callejón del Castillo - El Calero - Las Huesas,154900,2,90,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,169000,3,75,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,109000,2,75,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Escaleritas - La Feria,120000,4,90,7,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,89000,2,60,1,2020-09-09
Mallorca,Mogán,,145000,3,60,Ground floor,2020-09-09
Mallorca,San Bartolomé de Tirajana,Playa del Inglés,180000,2,60,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Agustín-Bahía Feliz,188000,3,90,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,156500,4,103,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,106000,3,79,3,2020-09-09
Mallorca,Valsequillo de Gran Canaria,,102000,3,89,1,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,160000,3,80,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,120000,3,80,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario centro-San Pedro Mártir,144000,3,108,2,2020-09-09
Mallorca,San Bartolomé de Tirajana,Castillo del Romeral - Juan Grande,70000,3,69,1,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,185000,2,60,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,158000,2,80,3,2020-09-09
Mallorca,San Bartolomé de Tirajana,Playa del Inglés,200000,2,60,2,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,179000,3,95,1,2020-09-09
Mallorca,Ingenio,3,68900,2,65,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Arenales - Lugo - Avda Marítima,176000,2,101,3,2020-09-09
Mallorca,Telde,Callejón del Castillo - El Calero - Las Huesas,116500,3,96,3,2020-09-09
Mallorca,San Bartolomé de Tirajana,El Tablero,153000,2,62,2,2020-09-09
Mallorca,Telde,San Juan,178000,4,110,3,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Altavista - Don Zoilo,193000,4,110,10,2020-09-09
Mallorca,San Bartolomé de Tirajana,San Fernando,117000,3,84,3,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,88000,2,72,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario-Paredilla-Sardina,170000,4,114,3,2020-09-09
Mallorca,Gáldar,97,110900,3,85,6,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,105000,2,80,3,2020-09-09
Mallorca,Valsequillo de Gran Canaria,16,89000,2,80,2,2020-09-09
Mallorca,Valsequillo de Gran Canaria,16,89000,2,75,1,2020-09-09
Mallorca,Santa Lucía de Tirajana,Vecindario norte-Cruce Sardina,140000,3,60,2,2020-09-09
Mallorca,Arucas,Santidad,150000,2,80,2,2020-09-09
Mallorca,Las Palmas de Gran Canaria,Arenales - Lugo - Avda Marítima,150000,2,75,3,2020-09-09
